,time,crypto,price,marketcap,more info
0,20210927181055,BTC,43087.56,811249294661,/currencies/bitcoin/
1,20210927181055,ETH,2992.69,352238635589,/currencies/ethereum/
2,20210927181055,ADA,2.19,70191375289,/currencies/cardano/
3,20210927181055,USDT,1.00,68576982416,/currencies/tether/
4,20210927181055,BNB,341.43,57406690519,/currencies/binance-coin/
5,20210927181055,XRP,0.9371,43781436283,/currencies/xrp/
6,20210927181055,SOL,141.21,41999045574,/currencies/solana/
7,20210927181055,USDC,1.00,31132068616,/currencies/usd-coin/
8,20210927181055,DOT,28.24,27890183667,/currencies/polkadot-new/
9,20210927181055,DOGE,0.2029,26679894808,/currencies/dogecoin/
10,20210927181126,BTC,43087.56,811249294661,/currencies/bitcoin/
11,20210927181126,ETH,2992.69,352238635589,/currencies/ethereum/
12,20210927181126,ADA,2.19,70191375289,/currencies/cardano/
13,20210927181126,USDT,1.00,68576982416,/currencies/tether/
14,20210927181126,BNB,341.43,57406690519,/currencies/binance-coin/
15,20210927181126,XRP,0.9371,43781436283,/currencies/xrp/
16,20210927181126,SOL,141.21,41999045574,/currencies/solana/
17,20210927181126,USDC,1.00,31132068616,/currencies/usd-coin/
18,20210927181126,DOT,28.24,27890183667,/currencies/polkadot-new/
19,20210927181126,DOGE,0.2029,26679894808,/currencies/dogecoin/
20,20210927181156,BTC,43087.56,811249294661,/currencies/bitcoin/
21,20210927181156,ETH,2992.69,352238635589,/currencies/ethereum/
22,20210927181156,ADA,2.19,70191375289,/currencies/cardano/
23,20210927181156,USDT,1.00,68576982416,/currencies/tether/
24,20210927181156,BNB,341.43,57406690519,/currencies/binance-coin/
25,20210927181156,XRP,0.9371,43781436283,/currencies/xrp/
26,20210927181156,SOL,141.21,41999045574,/currencies/solana/
27,20210927181156,USDC,1.00,31132068616,/currencies/usd-coin/
28,20210927181156,DOT,28.24,27890183667,/currencies/polkadot-new/
29,20210927181156,DOGE,0.2029,26679894808,/currencies/dogecoin/
30,20210927181226,BTC,43087.56,811249294661,/currencies/bitcoin/
31,20210927181226,ETH,2992.69,352238635589,/currencies/ethereum/
32,20210927181226,ADA,2.19,70191375289,/currencies/cardano/
33,20210927181226,USDT,1.00,68576982416,/currencies/tether/
34,20210927181226,BNB,341.43,57406690519,/currencies/binance-coin/
35,20210927181226,XRP,0.9371,43781436283,/currencies/xrp/
36,20210927181226,SOL,141.21,41999045574,/currencies/solana/
37,20210927181226,USDC,1.00,31132068616,/currencies/usd-coin/
38,20210927181226,DOT,28.24,27890183667,/currencies/polkadot-new/
39,20210927181226,DOGE,0.2029,26679894808,/currencies/dogecoin/
40,20210927181256,BTC,43087.56,811249294661,/currencies/bitcoin/
41,20210927181256,ETH,2992.69,352238635589,/currencies/ethereum/
42,20210927181256,ADA,2.19,70191375289,/currencies/cardano/
43,20210927181256,USDT,1.00,68576982416,/currencies/tether/
44,20210927181256,BNB,341.43,57406690519,/currencies/binance-coin/
45,20210927181256,XRP,0.9371,43781436283,/currencies/xrp/
46,20210927181256,SOL,141.21,41999045574,/currencies/solana/
47,20210927181256,USDC,1.00,31132068616,/currencies/usd-coin/
48,20210927181256,DOT,28.24,27890183667,/currencies/polkadot-new/
49,20210927181256,DOGE,0.2029,26679894808,/currencies/dogecoin/
